time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
2011-10-11T14:00:00,128.3,8.6,热带风暴(TS),8,18,西北,18,998,200,,,
2011-10-11T20:00:00,126.8,9.3,热带风暴(TS),8,18,西北,17,998,200,,,
2011-10-12T02:00:00,125.4,10.1,热带风暴(TS),8,18,西北西,18,998,200,,,
2011-10-12T08:00:00,124.3,10.3,热带风暴(TS),8,18,西北西,24,998,200,,,
2011-10-12T14:00:00,122.9,11.9,热带风暴(TS),8,18,西北西,20,998,200,,,
2011-10-12T20:00:00,121.7,12.2,热带风暴(TS),8,18,西北西,20,998,200,,,
2011-10-12T23:00:00,121.3,12.2,热带低压(TD),7,16,西北,20,1002,200,,,
2011-10-13T02:00:00,120.8,12.6,热带低压(TD),7,16,西北,16,1002,200,,,
2011-10-13T05:00:00,120.4,12.7,热带低压(TD),7,16,西北,16,1002,200,,,
2011-10-13T08:00:00,119.9,12.6,热带低压(TD),7,16,西北西,20,1002,200,,,
2011-10-13T11:00:00,119.6,12.6,热带低压(TD),7,16,西北西,18,1002,200,,,
2011-10-13T14:00:00,119.0,13.4,热带低压(TD),7,16,西北,20,1000,200,,,
2011-10-13T17:00:00,118.4,13.8,热带低压(TD),7,16,北北西,18,1000,200,,,
2011-10-13T20:00:00,118.1,14.2,热带低压(TD),7,16,西北,12,1000,200,,,
2011-10-13T23:00:00,117.9,14.4,热带低压(TD),7,16,西北,15,1000,200,,,
2011-10-14T02:00:00,117.7,15.3,热带低压(TD),7,16,西北,15,1000,200,,,
2011-10-14T05:00:00,117.7,16.0,热带低压(TD),7,16,北西北,15,1000,200,,,
2011-10-14T08:00:00,117.5,16.8,热带低压(TD),7,15,北西北,13,1004,200,,,
2011-10-14T11:00:00,117.2,17.5,热带低压(TD),7,15,北西北,12,1006,200,,,
