time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,remark,forecast,radius7_quad.ne,radius7_quad.se,radius7_quad.sw,radius7_quad.nw,radius10_quad.ne,radius10_quad.se,radius10_quad.sw,radius10_quad.nw,radius12_quad.ne,radius12_quad.se,radius12_quad.sw,radius12_quad.nw
1994-06-22T14:00:00,126.0,13.5,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1994-06-22T20:00:00,123.7,13.7,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1994-06-23T02:00:00,122.2,14.0,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1994-06-23T08:00:00,120.5,14.5,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1994-06-23T14:00:00,119.8,15.5,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1994-06-23T20:00:00,118.4,16.3,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
1994-06-24T02:00:00,117.0,17.0,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
1994-06-24T08:00:00,114.7,17.9,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
1994-06-24T14:00:00,113.5,18.9,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
1994-06-24T20:00:00,112.6,19.7,热带风暴(TS),8,20,,,990,,,,,,,,,,,,,,,,,
1994-06-25T02:00:00,112.0,20.1,热带风暴(TS),8,20,,,990,,,,,,,,,,,,,,,,,
1994-06-25T08:00:00,111.8,21.5,热带风暴(TS),8,20,,,992,,,,,,,,,,,,,,,,,
1994-06-25T14:00:00,111.6,23.5,,5,10,,,998,,,,,,,,,,,,,,,,,
1994-06-25T20:00:00,111.8,27.0,,5,10,,,998,,,,,,,,,,,,,,,,,
