time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,remark,forecast,radius7_quad.ne,radius7_quad.se,radius7_quad.sw,radius7_quad.nw,radius10_quad.ne,radius10_quad.se,radius10_quad.sw,radius10_quad.nw,radius12_quad.ne,radius12_quad.se,radius12_quad.sw,radius12_quad.nw
1994-10-16T08:00:00,148.0,14.5,,5,10,,,1006,,,,,,,,,,,,,,,,,
1994-10-16T14:00:00,146.3,15.0,,5,10,,,1006,,,,,,,,,,,,,,,,,
1994-10-16T20:00:00,144.3,15.5,,5,10,,,1006,,,,,,,,,,,,,,,,,
1994-10-17T02:00:00,142.7,15.8,,5,10,,,1006,,,,,,,,,,,,,,,,,
1994-10-17T08:00:00,141.0,16.0,,5,10,,,1006,,,,,,,,,,,,,,,,,
1994-10-17T14:00:00,140.1,16.3,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1994-10-17T20:00:00,138.6,16.3,热带风暴(TS),8,20,,,998,,,,,,,,,,,,,,,,,
1994-10-18T02:00:00,137.6,16.3,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
1994-10-18T08:00:00,135.9,15.7,热带风暴(TS),8,20,,,994,,,,,,,,,,,,,,,,,
1994-10-18T14:00:00,134.5,15.5,强热带风暴(STS),10,25,,,990,,,,,,,,,,,,,,,,,
1994-10-18T20:00:00,133.0,15.5,强热带风暴(STS),10,25,,,990,,,,,,,,,,,,,,,,,
1994-10-19T02:00:00,131.8,15.4,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,,
1994-10-19T08:00:00,130.3,15.4,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1994-10-19T14:00:00,128.7,15.6,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1994-10-19T20:00:00,127.6,15.6,台风(TY),12,35,,,970,,,,,,,,,,,,,,,,,
1994-10-20T02:00:00,126.6,15.7,台风(TY),12,35,,,965,,,,,,,,,,,,,,,,,
1994-10-20T08:00:00,125.4,15.6,台风(TY),13,40,,,960,,,,,,,,,,,,,,,,,
1994-10-20T14:00:00,124.4,15.6,台风(TY),13,40,,,960,,,,,,,,,,,,,,,,,
1994-10-20T20:00:00,123.8,15.4,台风(TY),13,40,,,960,,,,,,,,,,,,,,,,,
1994-10-21T02:00:00,122.8,15.2,台风(TY),13,40,,,960,,,,,,,,,,,,,,,,,
1994-10-21T08:00:00,122.2,14.9,台风(TY),13,40,,,960,,,,,,,,,,,,,,,,,
1994-10-21T14:00:00,121.2,14.3,台风(TY),12,35,,,970,,,,,,,,,,,,,,,,,
1994-10-21T20:00:00,120.0,13.9,强热带风暴(STS),11,30,,,975,,,,,,,,,,,,,,,,,
1994-10-22T02:00:00,118.8,13.4,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,,
1994-10-22T08:00:00,117.9,13.0,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,,
1994-10-22T14:00:00,117.0,12.5,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,,
1994-10-22T20:00:00,116.0,12.2,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,,
1994-10-23T02:00:00,115.3,11.7,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1994-10-23T08:00:00,114.7,11.3,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1994-10-23T14:00:00,114.2,11.0,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1994-10-23T20:00:00,113.7,10.9,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1994-10-24T02:00:00,113.2,10.8,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1994-10-24T08:00:00,112.7,10.8,台风(TY),12,35,,,970,,,,,,,,,,,,,,,,,
1994-10-24T14:00:00,112.4,10.8,台风(TY),12,35,,,970,,,,,,,,,,,,,,,,,
1994-10-24T20:00:00,112.0,11.0,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1994-10-25T02:00:00,111.5,11.0,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1994-10-25T08:00:00,111.0,10.9,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1994-10-25T14:00:00,110.5,10.8,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1994-10-25T20:00:00,110.1,10.8,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,,
1994-10-26T02:00:00,109.8,10.8,热带风暴(TS),8,20,,,994,,,,,,,,,,,,,,,,,
1994-10-26T08:00:00,109.5,10.9,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
1994-10-26T14:00:00,109.2,11.0,热带低压(TD),7,15,,,1002,,,,,,,,,,,,,,,,,
1994-10-26T20:00:00,109.0,11.1,热带低压(TD),6,12,,,1006,,,,,,,,,,,,,,,,,
