time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,remark,forecast,radius7_quad.ne,radius7_quad.se,radius7_quad.sw,radius7_quad.nw,radius10_quad.ne,radius10_quad.se,radius10_quad.sw,radius10_quad.nw,radius12_quad.ne,radius12_quad.se,radius12_quad.sw,radius12_quad.nw
1976-07-09T20:00:00,160.0,9.0,,0,0,,,1004,,,,,,,,,,,,,,,,,
1976-07-10T02:00:00,159.4,9.1,,0,0,,,1004,,,,,,,,,,,,,,,,,
1976-07-10T08:00:00,158.7,9.2,,0,0,,,1004,,,,,,,,,,,,,,,,,
1976-07-10T14:00:00,158.1,9.2,,5,10,,,1004,,,,,,,,,,,,,,,,,
1976-07-10T20:00:00,157.4,9.3,,5,10,,,1004,,,,,,,,,,,,,,,,,
1976-07-11T02:00:00,156.6,9.4,热带低压(TD),7,15,,,1002,,,,,,,,,,,,,,,,,
1976-07-11T08:00:00,155.7,9.4,强热带风暴(STS),10,25,,,995,,,,,,,,,,,,,,,,,
1976-07-11T14:00:00,154.9,9.6,强热带风暴(STS),10,25,,,990,,,,,,,,,,,,,,,,,
1976-07-11T20:00:00,154.0,9.7,强热带风暴(STS),10,25,,,990,,,,,,,,,,,,,,,,,
1976-07-12T02:00:00,153.2,9.8,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1976-07-12T08:00:00,151.9,10.1,台风(TY),12,35,,,979,,,,,,,,,,,,,,,,,
1976-07-12T14:00:00,150.4,10.5,台风(TY),13,40,,,975,,,,,,,,,,,,,,,,,
1976-07-12T20:00:00,149.8,10.9,强台风(STY),14,45,,,950,,,,,,,,,,,,,,,,,
1976-07-13T02:00:00,149.2,11.3,强台风(STY),15,50,,,940,,,,,,,,,,,,,,,,,
1976-07-13T08:00:00,148.8,11.8,超强台风(Super TY),17,60,,,915,,,,,,,,,,,,,,,,,
1976-07-13T14:00:00,148.1,12.6,超强台风(Super TY),17,65,,,911,,,,,,,,,,,,,,,,,
1976-07-13T20:00:00,147.5,13.7,超强台风(Super TY),17,65,,,910,,,,,,,,,,,,,,,,,
1976-07-14T02:00:00,146.6,15.0,超强台风(Super TY),17,65,,,910,,,,,,,,,,,,,,,,,
1976-07-14T08:00:00,145.6,16.4,超强台风(Super TY),17,65,,,910,,,,,,,,,,,,,,,,,
1976-07-14T14:00:00,144.4,17.5,超强台风(Super TY),17,60,,,915,,,,,,,,,,,,,,,,,
1976-07-14T20:00:00,142.9,18.8,超强台风(Super TY),16,55,,,920,,,,,,,,,,,,,,,,,
1976-07-15T02:00:00,141.3,19.8,强台风(STY),15,50,,,925,,,,,,,,,,,,,,,,,
1976-07-15T08:00:00,139.7,20.6,强台风(STY),15,50,,,930,,,,,,,,,,,,,,,,,
1976-07-15T14:00:00,138.4,21.3,超强台风(Super TY),16,55,,,925,,,,,,,,,,,,,,,,,
1976-07-15T20:00:00,137.2,22.2,超强台风(Super TY),17,65,,,898,,,,,,,,,,,,,,,,,
1976-07-16T02:00:00,136.0,23.0,超强台风(Super TY),17,60,,,910,,,,,,,,,,,,,,,,,
1976-07-16T08:00:00,134.7,23.6,强台风(STY),15,50,,,940,,,,,,,,,,,,,,,,,
1976-07-16T14:00:00,133.6,24.2,强台风(STY),14,45,,,945,,,,,,,,,,,,,,,,,
1976-07-16T20:00:00,132.4,24.8,强台风(STY),14,45,,,947,,,,,,,,,,,,,,,,,
1976-07-17T02:00:00,131.2,25.4,强台风(STY),14,45,,,947,,,,,,,,,,,,,,,,,
1976-07-17T08:00:00,130.0,26.3,强台风(STY),14,45,,,950,,,,,,,,,,,,,,,,,
1976-07-17T14:00:00,129.3,27.2,强台风(STY),14,45,,,950,,,,,,,,,,,,,,,,,
1976-07-17T20:00:00,128.9,28.0,强台风(STY),14,45,,,950,,,,,,,,,,,,,,,,,
1976-07-18T02:00:00,128.3,28.9,台风(TY),13,40,,,950,,,,,,,,,,,,,,,,,
1976-07-18T08:00:00,128.1,29.9,台风(TY),13,40,,,955,,,,,,,,,,,,,,,,,
1976-07-18T14:00:00,128.1,30.6,台风(TY),12,35,,,960,,,,,,,,,,,,,,,,,
1976-07-18T20:00:00,128.4,31.4,台风(TY),12,35,,,960,,,,,,,,,,,,,,,,,
1976-07-19T02:00:00,128.9,31.9,台风(TY),12,35,,,960,,,,,,,,,,,,,,,,,
1976-07-19T08:00:00,129.1,32.2,台风(TY),12,35,,,970,,,,,,,,,,,,,,,,,
1976-07-19T14:00:00,129.3,32.3,强热带风暴(STS),11,30,,,985,,,,,,,,,,,,,,,,,
1976-07-19T20:00:00,129.5,32.4,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
1976-07-20T02:00:00,129.7,32.5,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1976-07-20T08:00:00,129.9,32.6,热带低压(TD),6,12,,,1003,,,,,,,,,,,,,,,,,
1976-07-20T14:00:00,129.9,32.3,,5,10,,,1004,,,,,,,,,,,,,,,,,
1976-07-20T20:00:00,129.0,32.0,,5,10,,,1006,,,,,,,,,,,,,,,,,
1976-07-21T02:00:00,128.2,32.2,,5,10,,,1008,,,,,,,,,,,,,,,,,
1976-07-21T08:00:00,127.5,32.6,,0,0,,,1009,,,,,,,,,,,,,,,,,
