time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,remark,forecast,radius7_quad.ne,radius7_quad.se,radius7_quad.sw,radius7_quad.nw,radius10_quad.ne,radius10_quad.se,radius10_quad.sw,radius10_quad.nw,radius12_quad.ne,radius12_quad.se,radius12_quad.sw,radius12_quad.nw
1962-11-04T14:00:00,138.2,8.3,,0,0,,,1004,,,,,,,,,,,,,,,,,
1962-11-04T20:00:00,136.2,9.4,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1962-11-05T02:00:00,134.0,10.0,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1962-11-05T08:00:00,132.6,10.6,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1962-11-05T14:00:00,131.1,11.2,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1962-11-05T20:00:00,129.6,11.6,热带风暴(TS),8,20,,,1000,,,,,,,,,,,,,,,,,
1962-11-06T02:00:00,128.4,12.0,强热带风暴(STS),10,25,,,995,,,,,,,,,,,,,,,,,
1962-11-06T08:00:00,126.7,12.3,强热带风暴(STS),10,25,,,995,,,,,,,,,,,,,,,,,
1962-11-06T14:00:00,125.0,12.3,强热带风暴(STS),10,25,,,995,,,,,,,,,,,,,,,,,
1962-11-06T20:00:00,123.4,12.4,强热带风暴(STS),10,25,,,995,,,,,,,,,,,,,,,,,
1962-11-07T02:00:00,121.7,12.5,强热带风暴(STS),10,25,,,995,,,,,,,,,,,,,,,,,
1962-11-07T08:00:00,120.6,12.5,强热带风暴(STS),10,25,,,993,,,,,,,,,,,,,,,,,
1962-11-07T14:00:00,119.3,13.1,强热带风暴(STS),11,30,,,991,,,,,,,,,,,,,,,,,
1962-11-07T20:00:00,118.0,14.0,强热带风暴(STS),11,30,,,987,,,,,,,,,,,,,,,,,
1962-11-08T02:00:00,116.6,14.2,台风(TY),12,35,,,983,,,,,,,,,,,,,,,,,
1962-11-08T08:00:00,115.7,14.4,台风(TY),13,40,,,980,,,,,,,,,,,,,,,,,
1962-11-08T14:00:00,114.9,15.0,台风(TY),13,40,,,978,,,,,,,,,,,,,,,,,
1962-11-08T20:00:00,114.0,15.3,台风(TY),13,40,,,978,,,,,,,,,,,,,,,,,
1962-11-09T02:00:00,113.4,15.4,台风(TY),13,40,,,978,,,,,,,,,,,,,,,,,
1962-11-09T08:00:00,113.0,15.5,台风(TY),13,40,,,978,,,,,,,,,,,,,,,,,
1962-11-09T14:00:00,112.6,15.5,台风(TY),13,40,,,978,,,,,,,,,,,,,,,,,
1962-11-09T20:00:00,112.3,15.5,台风(TY),13,40,,,978,,,,,,,,,,,,,,,,,
1962-11-10T02:00:00,111.8,15.5,台风(TY),13,40,,,978,,,,,,,,,,,,,,,,,
1962-11-10T08:00:00,111.4,15.5,台风(TY),13,40,,,977,,,,,,,,,,,,,,,,,
1962-11-10T14:00:00,111.0,15.4,台风(TY),13,40,,,976,,,,,,,,,,,,,,,,,
1962-11-10T20:00:00,110.7,15.5,台风(TY),12,35,,,980,,,,,,,,,,,,,,,,,
1962-11-11T02:00:00,110.5,15.8,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1962-11-11T08:00:00,110.5,16.2,强热带风暴(STS),11,30,,,985,,,,,,,,,,,,,,,,,
1962-11-11T14:00:00,110.5,16.4,强热带风暴(STS),10,25,,,990,,,,,,,,,,,,,,,,,
1962-11-11T20:00:00,110.6,16.6,强热带风暴(STS),10,25,,,990,,,,,,,,,,,,,,,,,
1962-11-12T02:00:00,110.8,16.7,强热带风暴(STS),10,25,,,990,,,,,,,,,,,,,,,,,
1962-11-12T08:00:00,111.0,16.8,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
1962-11-12T14:00:00,111.2,16.9,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
1962-11-12T20:00:00,111.4,17.0,热带风暴(TS),8,20,,,998,,,,,,,,,,,,,,,,,
1962-11-13T02:00:00,111.5,17.2,热带风暴(TS),8,20,,,998,,,,,,,,,,,,,,,,,
1962-11-13T08:00:00,111.7,17.5,热带风暴(TS),8,20,,,1000,,,,,,,,,,,,,,,,,
1962-11-13T14:00:00,112.0,17.8,热带风暴(TS),8,20,,,1000,,,,,,,,,,,,,,,,,
1962-11-13T20:00:00,112.5,17.9,热带风暴(TS),8,20,,,1000,,,,,,,,,,,,,,,,,
1962-11-14T02:00:00,113.0,17.8,热带低压(TD),7,15,,,1002,,,,,,,,,,,,,,,,,
1962-11-14T08:00:00,113.5,17.5,热带低压(TD),7,15,,,1002,,,,,,,,,,,,,,,,,
1962-11-14T14:00:00,114.0,17.1,热带低压(TD),7,15,,,1004,,,,,,,,,,,,,,,,,
1962-11-14T20:00:00,114.3,16.6,,0,0,,,1004,,,,,,,,,,,,,,,,,
1962-11-15T02:00:00,114.6,16.3,,0,0,,,1004,,,,,,,,,,,,,,,,,
1962-11-15T08:00:00,115.0,16.0,,0,0,,,1004,,,,,,,,,,,,,,,,,
1962-11-15T14:00:00,114.5,15.5,,0,0,,,1004,,,,,,,,,,,,,,,,,
1962-11-15T20:00:00,114.5,15.0,,0,0,,,1004,,,,,,,,,,,,,,,,,
