time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
2012-10-07T20:00:00,136.6,17.8,热带风暴(TS),8,18,西,10,998,150,0.0,,
2012-10-08T02:00:00,136.4,18.0,热带风暴(TS),8,18,西,10,998,150,0.0,,
2012-10-08T08:00:00,135.7,18.0,强热带风暴(STS),10,25,西,10,988,180,,,
2012-10-08T14:00:00,135.0,18.1,强热带风暴(STS),10,25,西,10,988,180,,,
2012-10-08T20:00:00,134.2,18.3,强热带风暴(STS),10,28,西,10,985,300,,,
2012-10-09T02:00:00,133.2,18.0,强热带风暴(STS),10,28,西,8,982,300,50.0,,
2012-10-09T08:00:00,132.6,17.8,强热带风暴(STS),11,30,西西北,7,980,300,50.0,,
2012-10-09T14:00:00,132.1,17.6,台风(TY),12,33,西西北,7,975,300,60.0,,
2012-10-09T17:00:00,131.9,17.6,台风(TY),12,33,西西北,8,975,300,60.0,,
2012-10-09T20:00:00,131.9,18.0,台风(TY),12,33,西西北,7,970,300,60.0,,
2012-10-09T23:00:00,131.8,18.2,台风(TY),12,35,西西北,6,965,300,60.0,,
2012-10-10T02:00:00,131.6,18.3,台风(TY),13,38,西西北,6,960,300,70.0,,
2012-10-10T05:00:00,131.3,18.4,台风(TY),13,38,西西北,9,960,300,100.0,,
2012-10-10T08:00:00,130.9,18.4,台风(TY),13,38,西西北,6,960,300,100.0,,
2012-10-10T11:00:00,130.8,18.5,台风(TY),13,38,西西北,6,960,300,100.0,,
2012-10-10T14:00:00,130.4,18.7,台风(TY),13,38,西西北,6,960,300,100.0,,
2012-10-10T17:00:00,130.0,18.6,台风(TY),13,40,西西北,6,955,300,100.0,,
2012-10-10T20:00:00,129.9,18.6,强台风(STY),14,42,西西北,6,948,320,120.0,,
2012-10-10T23:00:00,129.7,18.8,强台风(STY),14,42,西西北,6,948,320,120.0,,
2012-10-11T02:00:00,129.5,19.0,强台风(STY),14,42,西北,5,948,350,120.0,,
2012-10-11T05:00:00,129.4,19.1,强台风(STY),14,42,西北,5,948,350,120.0,,
2012-10-11T08:00:00,128.9,19.3,强台风(STY),14,42,西西北,5,948,350,120.0,,
2012-10-11T11:00:00,128.8,19.3,强台风(STY),14,45,西北,5,945,350,140.0,,
2012-10-11T14:00:00,128.5,19.5,强台风(STY),14,45,西北,5,945,350,140.0,,
2012-10-11T17:00:00,128.4,19.5,强台风(STY),14,45,西北,5,945,350,140.0,,
2012-10-11T20:00:00,128.4,19.4,强台风(STY),14,45,北,5,945,350,140.0,,
2012-10-11T23:00:00,128.4,19.5,强台风(STY),14,45,北东北,5,945,350,140.0,,
2012-10-12T02:00:00,128.5,19.6,强台风(STY),14,45,东北,6,945,350,140.0,,
2012-10-12T05:00:00,128.5,19.6,强台风(STY),14,45,东北,8,945,350,140.0,,
2012-10-12T08:00:00,128.6,19.8,强台风(STY),15,48,东北,8,940,380,150.0,,
2012-10-12T11:00:00,128.8,19.9,强台风(STY),15,48,东北,8,940,380,150.0,,
2012-10-12T14:00:00,128.9,20.0,强台风(STY),15,48,东北,8,940,380,150.0,,
2012-10-12T17:00:00,129.0,20.1,强台风(STY),15,48,东北,8,940,380,150.0,,
2012-10-12T20:00:00,129.2,20.2,强台风(STY),14,45,东北,9,945,350,150.0,,
2012-10-12T23:00:00,129.4,20.4,强台风(STY),14,45,东北,8,945,350,150.0,,
2012-10-13T02:00:00,129.5,20.5,强台风(STY),14,45,东北,8,945,350,150.0,,
2012-10-13T05:00:00,129.7,20.8,强台风(STY),14,42,东北,8,950,350,150.0,,
2012-10-13T08:00:00,129.8,20.9,台风(TY),13,40,东北,8,955,320,120.0,,
2012-10-13T17:00:00,129.9,21.4,台风(TY),13,40,北东北,5,955,320,120.0,,
2012-10-13T20:00:00,129.9,21.4,台风(TY),13,40,东北,6,955,320,120.0,,
2012-10-13T23:00:00,130.0,21.6,台风(TY),13,40,东北,5,955,320,120.0,,
2012-10-14T02:00:00,130.4,21.6,台风(TY),13,40,东北,8,955,320,120.0,,
2012-10-14T05:00:00,130.7,21.8,台风(TY),13,40,东北,8,955,320,120.0,,
2012-10-14T08:00:00,130.8,22.0,台风(TY),13,40,北东北,5,955,320,120.0,,
2012-10-14T11:00:00,130.9,22.2,台风(TY),13,40,北东北,5,955,320,120.0,,
2012-10-14T14:00:00,130.9,22.4,台风(TY),13,40,北东北,5,955,320,120.0,,
2012-10-14T17:00:00,130.9,22.5,台风(TY),13,40,北,4,955,320,120.0,,
2012-10-14T20:00:00,131.0,22.5,台风(TY),13,40,北西北,4,955,320,120.0,,
2012-10-14T23:00:00,131.1,22.6,台风(TY),13,40,西北,4,955,320,120.0,,
2012-10-15T02:00:00,131.3,22.8,台风(TY),13,38,西西北,3,960,300,100.0,,
2012-10-15T05:00:00,131.1,22.9,台风(TY),13,38,西西南,3,960,300,100.0,,
2012-10-15T08:00:00,131.1,22.7,强台风(STY),14,42,西南,5,950,380,150.0,,
2012-10-15T11:00:00,131.1,22.7,强台风(STY),14,42,西西南,5,950,380,150.0,,
2012-10-15T14:00:00,131.1,22.7,强台风(STY),14,42,西西南,5,950,380,150.0,,
2012-10-15T17:00:00,131.0,22.5,台风(TY),13,38,西西南,5,960,380,120.0,,
2012-10-15T20:00:00,131.0,22.5,台风(TY),13,38,西西南,5,960,350,120.0,,
2012-10-15T23:00:00,130.8,22.5,台风(TY),12,35,西西南,8,970,300,100.0,,
2012-10-16T02:00:00,130.5,22.1,台风(TY),12,35,西西南,8,970,300,100.0,,
2012-10-16T05:00:00,130.2,22.0,台风(TY),12,33,西,8,975,280,80.0,,
2012-10-16T08:00:00,130.0,21.8,台风(TY),12,33,西,10,975,280,80.0,,
2012-10-16T11:00:00,129.9,21.8,台风(TY),12,33,西西北,10,975,280,80.0,,
2012-10-16T14:00:00,129.6,21.9,台风(TY),12,33,西西北,8,975,280,80.0,,
2012-10-16T17:00:00,129.0,22.0,强热带风暴(STS),11,30,西西北,8,980,280,80.0,,
2012-10-16T20:00:00,128.7,22.1,强热带风暴(STS),11,30,西西北,8,980,280,80.0,,
2012-10-16T23:00:00,128.7,22.3,强热带风暴(STS),11,30,西西北,8,980,280,80.0,,
2012-10-17T02:00:00,128.7,22.6,强热带风暴(STS),11,30,北,10,980,280,80.0,,
2012-10-17T05:00:00,128.8,23.1,强热带风暴(STS),11,30,北东北,15,980,250,80.0,,
2012-10-17T08:00:00,128.5,23.4,强热带风暴(STS),10,28,北东北,15,980,230,70.0,,
