time,lng,lat,strong,power,speed,moveDir,moveSpeed,pressure,r7,r10,r12,remark,forecast,r7Quad.ne,r7Quad.se,r7Quad.sw,r7Quad.nw,r10Quad.ne,r10Quad.se,r10Quad.sw,r10Quad.nw,r12Quad.ne,r12Quad.se,r12Quad.sw,r12Quad.nw
1968-08-27T14:00:00,173.0,11.0,,0,0,,,1008,,,,,,,,,,,,,,,,,
1968-08-27T20:00:00,172.7,11.6,,0,0,,,1008,,,,,,,,,,,,,,,,,
1968-08-28T02:00:00,172.4,12.4,,0,0,,,1006,,,,,,,,,,,,,,,,,
1968-08-28T08:00:00,172.2,13.3,,0,0,,,1006,,,,,,,,,,,,,,,,,
1968-08-28T14:00:00,171.8,14.0,,0,0,,,1004,,,,,,,,,,,,,,,,,
1968-08-28T20:00:00,171.5,14.5,,0,0,,,1004,,,,,,,,,,,,,,,,,
1968-08-29T02:00:00,170.8,15.2,,0,0,,,1002,,,,,,,,,,,,,,,,,
1968-08-29T08:00:00,170.1,15.8,热带低压(TD),7,15,,,1002,,,,,,,,,,,,,,,,,
1968-08-29T14:00:00,169.1,16.2,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1968-08-29T20:00:00,168.1,16.7,热带风暴(TS),8,20,,,998,,,,,,,,,,,,,,,,,
1968-08-30T02:00:00,166.9,17.1,强热带风暴(STS),10,25,,,996,,,,,,,,,,,,,,,,,
1968-08-30T08:00:00,165.7,17.2,强热带风暴(STS),11,30,,,990,,,,,,,,,,,,,,,,,
1968-08-30T14:00:00,164.2,17.4,台风(TY),12,35,,,987,,,,,,,,,,,,,,,,,
1968-08-30T20:00:00,162.4,17.4,台风(TY),12,35,,,986,,,,,,,,,,,,,,,,,
1968-08-31T02:00:00,160.7,17.2,强台风(STY),14,45,,,977,,,,,,,,,,,,,,,,,
1968-08-31T08:00:00,159.1,16.8,强台风(STY),15,50,,,968,,,,,,,,,,,,,,,,,
1968-08-31T14:00:00,157.4,16.3,强台风(STY),15,50,,,963,,,,,,,,,,,,,,,,,
1968-08-31T20:00:00,155.6,16.1,超强台风(Super TY),16,55,,,957,,,,,,,,,,,,,,,,,
1968-09-01T02:00:00,153.8,16.1,超强台风(Super TY),17,60,,,951,,,,,,,,,,,,,,,,,
1968-09-01T08:00:00,152.2,16.2,超强台风(Super TY),17,60,,,956,,,,,,,,,,,,,,,,,
1968-09-01T14:00:00,150.5,16.1,超强台风(Super TY),16,55,,,963,,,,,,,,,,,,,,,,,
1968-09-01T20:00:00,149.1,16.1,强台风(STY),15,50,,,964,,,,,,,,,,,,,,,,,
1968-09-02T02:00:00,147.9,16.2,强台风(STY),15,50,,,965,,,,,,,,,,,,,,,,,
1968-09-02T08:00:00,146.6,16.4,强台风(STY),15,50,,,964,,,,,,,,,,,,,,,,,
1968-09-02T14:00:00,145.2,16.7,强台风(STY),15,50,,,962,,,,,,,,,,,,,,,,,
1968-09-02T20:00:00,144.1,16.9,强台风(STY),15,50,,,960,,,,,,,,,,,,,,,,,
1968-09-03T02:00:00,143.0,17.1,强台风(STY),15,50,,,957,,,,,,,,,,,,,,,,,
1968-09-03T08:00:00,141.8,17.6,超强台风(Super TY),16,55,,,953,,,,,,,,,,,,,,,,,
1968-09-03T14:00:00,140.7,17.8,超强台风(Super TY),17,60,,,944,,,,,,,,,,,,,,,,,
1968-09-03T20:00:00,139.8,18.3,超强台风(Super TY),18,70,,,926,,,,,,,,,,,,,,,,,
1968-09-04T02:00:00,138.9,18.5,超强台风(Super TY),18,75,,,907,,,,,,,,,,,,,,,,,
1968-09-04T08:00:00,138.3,18.7,超强台风(Super TY),18,75,,,902,,,,,,,,,,,,,,,,,
1968-09-04T14:00:00,137.6,19.3,超强台风(Super TY),18,75,,,909,,,,,,,,,,,,,,,,,
1968-09-04T20:00:00,136.9,19.4,超强台风(Super TY),18,65,,,915,,,,,,,,,,,,,,,,,
1968-09-05T02:00:00,136.7,19.3,超强台风(Super TY),18,65,,,922,,,,,,,,,,,,,,,,,
1968-09-05T08:00:00,136.5,19.2,超强台风(Super TY),18,65,,,929,,,,,,,,,,,,,,,,,
1968-09-05T14:00:00,136.7,19.1,超强台风(Super TY),18,65,,,934,,,,,,,,,,,,,,,,,
1968-09-05T20:00:00,137.0,19.1,超强台风(Super TY),18,65,,,935,,,,,,,,,,,,,,,,,
1968-09-06T02:00:00,137.1,19.3,超强台风(Super TY),17,60,,,938,,,,,,,,,,,,,,,,,
1968-09-06T08:00:00,137.2,19.4,超强台风(Super TY),17,60,,,941,,,,,,,,,,,,,,,,,
