time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,remark,forecast,radius7_quad.ne,radius7_quad.se,radius7_quad.sw,radius7_quad.nw,radius10_quad.ne,radius10_quad.se,radius10_quad.sw,radius10_quad.nw,radius12_quad.ne,radius12_quad.se,radius12_quad.sw,radius12_quad.nw
1955-12-12T08:00:00,142.3,6.2,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1955-12-12T14:00:00,141.0,7.0,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1955-12-12T20:00:00,139.4,7.8,热带风暴(TS),8,20,,,998,,,,,,,,,,,,,,,,,
1955-12-13T02:00:00,137.4,8.8,热带风暴(TS),8,20,,,998,,,,,,,,,,,,,,,,,
1955-12-13T08:00:00,135.8,9.4,强热带风暴(STS),10,25,,,998,,,,,,,,,,,,,,,,,
1955-12-13T14:00:00,134.6,9.9,强热带风暴(STS),11,30,,,991,,,,,,,,,,,,,,,,,
1955-12-13T20:00:00,133.9,10.1,台风(TY),12,35,,,990,,,,,,,,,,,,,,,,,
1955-12-14T02:00:00,132.9,10.4,台风(TY),12,35,,,988,,,,,,,,,,,,,,,,,
1955-12-14T08:00:00,132.1,10.6,台风(TY),13,40,,,983,,,,,,,,,,,,,,,,,
1955-12-14T14:00:00,131.2,11.1,强台风(STY),14,45,,,973,,,,,,,,,,,,,,,,,
1955-12-14T20:00:00,129.9,11.9,强台风(STY),15,50,,,966,,,,,,,,,,,,,,,,,
1955-12-15T02:00:00,128.8,12.9,超强台风(Super TY),16,55,,,961,,,,,,,,,,,,,,,,,
1955-12-15T08:00:00,128.5,14.0,超强台风(Super TY),17,65,,,951,,,,,,,,,,,,,,,,,
1955-12-15T14:00:00,129.0,15.0,超强台风(Super TY),17,80,,,933,,,,,,,,,,,,,,,,,
1955-12-15T20:00:00,129.4,15.8,超强台风(Super TY),17,90,,,925,,,,,,,,,,,,,,,,,
1955-12-16T02:00:00,130.0,16.9,超强台风(Super TY),17,90,,,924,,,,,,,,,,,,,,,,,
1955-12-16T08:00:00,130.9,17.8,超强台风(Super TY),17,85,,,924,,,,,,,,,,,,,,,,,
1955-12-16T14:00:00,132.5,18.9,超强台风(Super TY),17,75,,,931,,,,,,,,,,,,,,,,,
1955-12-16T20:00:00,134.4,20.0,超强台风(Super TY),17,65,,,938,,,,,,,,,,,,,,,,,
1955-12-17T02:00:00,136.6,21.2,超强台风(Super TY),17,60,,,943,,,,,,,,,,,,,,,,,
1955-12-17T08:00:00,139.6,22.4,强台风(STY),15,50,,,956,,,,,,,,,,,,,,,,,
1955-12-17T14:00:00,142.2,23.3,台风(TY),13,40,,,980,,,,,,,,,,,,,,,,,
1955-12-17T20:00:00,145.4,24.4,台风(TY),12,35,,,990,,,,,,,,,,,,,,,,,
