time,lng,lat,strong,power,speed,moveDir,moveSpeed,pressure,r7,r10,r12,remark,forecast,r7Quad.ne,r7Quad.se,r7Quad.sw,r7Quad.nw,r10Quad.ne,r10Quad.se,r10Quad.sw,r10Quad.nw,r12Quad.ne,r12Quad.se,r12Quad.sw,r12Quad.nw
1984-06-30T08:00:00,126.0,16.0,,5,9,,,1007,,,,,,,,,,,,,,,,,
1984-06-30T14:00:00,125.8,15.7,,5,9,,,1007,,,,,,,,,,,,,,,,,
1984-06-30T20:00:00,125.5,15.5,,5,9,,,1007,,,,,,,,,,,,,,,,,
1984-07-01T02:00:00,125.0,15.8,,5,10,,,1006,,,,,,,,,,,,,,,,,
1984-07-01T08:00:00,124.8,16.2,热带低压(TD),6,12,,,1006,,,,,,,,,,,,,,,,,
1984-07-01T14:00:00,124.6,16.6,热带低压(TD),7,15,,,1003,,,,,,,,,,,,,,,,,
1984-07-01T20:00:00,124.5,17.0,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1984-07-02T02:00:00,124.3,17.3,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
1984-07-02T08:00:00,124.0,17.5,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,,
1984-07-02T14:00:00,123.4,18.2,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
1984-07-02T20:00:00,122.8,19.2,强热带风暴(STS),11,30,,,976,,,,,,,,,,,,,,,,,
1984-07-03T02:00:00,121.8,20.7,台风(TY),12,35,,,968,,,,,,,,,,,,,,,,,
1984-07-03T08:00:00,121.6,21.7,台风(TY),12,35,,,962,,,,,,,,,,,,,,,,,
1984-07-03T14:00:00,121.4,23.3,强热带风暴(STS),11,30,,,985,,,,,,,,,,,,,,,,,
1984-07-03T20:00:00,120.9,25.1,热带风暴(TS),8,20,,,990,,,,,,,,,,,,,,,,,
1984-07-04T02:00:00,121.0,26.3,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,,
1984-07-04T08:00:00,121.1,28.0,强热带风暴(STS),10,25,,,998,,,,,,,,,,,,,,,,,
1984-07-04T14:00:00,121.6,29.4,热带风暴(TS),8,20,,,1000,,,,,,,,,,,,,,,,,
1984-07-04T20:00:00,122.8,31.2,热带低压(TD),7,15,,,1003,,,,,,,,,,,,,,,,,
1984-07-05T02:00:00,123.9,32.5,,5,10,,,1002,,,,,,,,,,,,,,,,,
1984-07-05T08:00:00,125.0,33.7,,5,10,,,1004,,,,,,,,,,,,,,,,,
1984-07-05T14:00:00,126.4,34.6,,5,10,,,1006,,,,,,,,,,,,,,,,,
1984-07-05T20:00:00,128.0,35.1,,5,9,,,1008,,,,,,,,,,,,,,,,,
1984-07-06T02:00:00,130.0,35.3,,5,9,,,1010,,,,,,,,,,,,,,,,,
