time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
2000-09-15T02:00:00,140.5,22.7,热带低压(TD),7,15,,,1000,,,,
2000-09-15T08:00:00,140.9,23.3,热带低压(TD),7,15,,,1000,,,,
2000-09-15T14:00:00,141.0,23.5,热带风暴(TS),8,20,,,995,,,,
2000-09-15T20:00:00,141.1,23.8,强热带风暴(STS),10,25,,,990,,,,
2000-09-16T02:00:00,141.5,24.1,强热带风暴(STS),10,25,,,985,,,,
2000-09-16T08:00:00,141.8,24.9,强热带风暴(STS),11,30,,,980,,,,
2000-09-16T14:00:00,141.7,26.1,台风(TY),12,33,,,975,,,,
2000-09-16T20:00:00,141.6,27.3,台风(TY),12,33,,,975,,,,
2000-09-17T02:00:00,141.3,29.0,台风(TY),12,33,,,975,,,,
2000-09-17T08:00:00,141.4,31.0,强热带风暴(STS),11,30,,,980,,,,
2000-09-17T14:00:00,142.1,33.3,强热带风暴(STS),11,30,,,980,,,,
2000-09-17T20:00:00,143.0,35.8,强热带风暴(STS),11,30,,,980,,,,
2000-09-18T02:00:00,144.4,38.9,强热带风暴(STS),11,30,,,980,,,,
2000-09-18T08:00:00,146.5,42.1,强热带风暴(STS),10,28,,,985,,,,
2000-09-18T14:00:00,149.6,45.1,强热带风暴(STS),10,25,,,990,,,,
2000-09-18T20:00:00,154.6,47.6,热带风暴(TS),8,20,,,995,,,,
