time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,remark,forecast,radius7_quad.ne,radius7_quad.se,radius7_quad.sw,radius7_quad.nw,radius10_quad.ne,radius10_quad.se,radius10_quad.sw,radius10_quad.nw,radius12_quad.ne,radius12_quad.se,radius12_quad.sw,radius12_quad.nw
2013-09-13T02:00:00,145.3,21.0,热带风暴(TS),8,18,,,1000,150,,,,,,,,,,,,,,,,
2013-09-13T08:00:00,143.3,21.3,热带风暴(TS),8,18,西西北,20.0,1000,150,,,,,,,,,,,,,,,,
2013-09-13T14:00:00,142.0,22.0,热带风暴(TS),8,18,,,998,150,,,,,,,,,,,,,,,,
2013-09-13T20:00:00,140.7,22.7,热带风暴(TS),8,18,,,998,150,,,,,,,,,,,,,,,,
2013-09-14T02:00:00,139.8,22.8,热带风暴(TS),8,20,西北,28.0,994,200,,,,,,,,,,,,,,,,
2013-09-14T08:00:00,137.2,24.3,热带风暴(TS),9,23,西北,21.0,990,230,,,,,,,,,,,,,,,,
2013-09-14T14:00:00,136.6,25.1,强热带风暴(STS),10,25,,,985,250,,,,,,,,,,,,,,,,
2013-09-14T20:00:00,135.5,26.4,强热带风暴(STS),10,25,,,985,250,,,,,,,,,,,,,,,,
2013-09-15T02:00:00,135.2,27.3,热带风暴(TS),9,23,,,988,230,,,,,,,,,,,,,,,,
2013-09-15T08:00:00,134.4,28.6,强热带风暴(STS),10,25,,,980,250,,,,,,,,,,,,,,,,
2013-09-15T14:00:00,134.3,29.8,强热带风暴(STS),10,25,北东北,30.0,980,250,,,,,,,,,,,,,,,,
2013-09-15T20:00:00,134.9,31.4,强热带风暴(STS),10,28,,,975,250,100.0,,,,,,,,,,,,,,,
2013-09-16T02:00:00,135.9,32.9,强热带风暴(STS),10,28,,,975,250,100.0,,,,,,,,,,,,,,,
2013-09-16T08:00:00,137.5,34.9,强热带风暴(STS),10,25,东北,70.0,975,250,,,,,,,,,,,,,,,,
2013-09-16T14:00:00,141.2,37.9,热带风暴(TS),9,23,东北,70.0,980,250,,,,,,,,,,,,,,,,
