time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
2009-10-09T14:00:00,142.7,19.5,热带风暴(TS),8,18,,,998,,,,
2009-10-09T20:00:00,142.5,20.1,热带风暴(TS),8,18,,,998,,,,
2009-10-10T02:00:00,142.5,20.4,热带风暴(TS),8,18,,,998,,,,
2009-10-10T08:00:00,142.7,20.7,热带风暴(TS),8,18,北北西,10.0,998,100.0,,,
2009-10-10T14:00:00,142.6,21.3,热带风暴(TS),8,18,北北西,10.0,998,100.0,,,
2009-10-10T20:00:00,142.5,21.7,热带风暴(TS),8,18,北北西,10.0,998,100.0,,,
2009-10-11T02:00:00,142.9,22.2,热带风暴(TS),8,18,北北西,10.0,998,100.0,,,
2009-10-11T08:00:00,142.6,22.3,热带风暴(TS),8,18,北东,15.0,998,100.0,,,
2009-10-11T14:00:00,142.7,22.7,热带风暴(TS),8,18,北东,15.0,998,150.0,,,
2009-10-11T20:00:00,143.3,22.9,热带风暴(TS),8,18,北东,15.0,998,150.0,,,
2009-10-12T02:00:00,143.6,23.3,热带风暴(TS),8,18,北东,15.0,998,150.0,,,
2009-10-12T08:00:00,144.3,23.7,热带风暴(TS),9,23,北东,20.0,992,180.0,,,
2009-10-12T14:00:00,145.1,24.3,强热带风暴(STS),10,25,北东,25.0,988,230.0,,,
2009-10-12T20:00:00,146.2,25.5,强热带风暴(STS),10,25,北东,25.0,988,230.0,,,
2009-10-13T02:00:00,147.7,26.8,强热带风暴(STS),10,25,北东,40.0,988,230.0,,,
2009-10-13T08:00:00,150.0,28.5,强热带风暴(STS),10,25,北东,45.0,988,230.0,,,
2009-10-13T14:00:00,152.9,30.4,热带风暴(TS),9,23,北东,55.0,992,200.0,,,
2009-10-13T20:00:00,154.7,31.2,热带风暴(TS),9,23,北东,55.0,992,200.0,,,
