time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
2004-04-08T08:00:00,140.6,9.1,台风(TY),12,35,西北偏西,12,970,460,130.0,,
2004-04-08T14:00:00,139.8,8.8,台风(TY),13,40,西北偏西,15,960,500,150.0,,
2004-04-09T08:00:00,138.0,9.1,强台风(STY),14,45,西北偏西,12,950,500,200.0,,
2004-04-09T14:00:00,137.2,9.5,强台风(STY),14,45,西北偏西,15,950,500,200.0,,
2004-04-09T20:00:00,136.5,9.8,强台风(STY),15,50,西北偏西,13,940,550,200.0,,
2004-04-10T02:00:00,135.8,10.2,强台风(STY),15,50,西北偏西,13,940,500,200.0,,
2004-04-10T08:00:00,135.2,10.8,强台风(STY),15,50,西北,15,940,500,200.0,,
2004-04-10T14:00:00,134.4,11.3,强台风(STY),15,50,西北,15,940,500,200.0,,
2004-04-10T20:00:00,133.6,11.8,强台风(STY),15,50,西北,16,940,500,200.0,,
2004-04-11T02:00:00,132.9,12.5,强台风(STY),15,50,西北,14,940,500,200.0,,
2004-04-11T08:00:00,132.4,13.2,强台风(STY),14,45,西北,13,950,500,200.0,,
2004-04-11T14:00:00,131.6,13.5,强台风(STY),14,45,西北,15,950,500,200.0,,
2004-04-11T20:00:00,131.3,14.1,强台风(STY),14,45,西北偏北,13,950,500,200.0,,
2004-04-12T02:00:00,131.2,14.8,强台风(STY),14,45,偏北,13,950,500,200.0,,
2004-04-12T08:00:00,131.0,15.5,强台风(STY),14,45,偏北,13,950,500,200.0,,
2004-04-12T14:00:00,130.9,15.6,强台风(STY),14,45,偏北,14,950,500,200.0,,
2004-04-12T20:00:00,131.0,16.1,强台风(STY),14,45,东北偏北,15,950,500,200.0,,
2004-04-13T02:00:00,131.2,16.8,强台风(STY),14,45,东北偏北,15,950,500,200.0,,
2004-04-13T08:00:00,131.6,17.2,强台风(STY),14,45,东北,16,950,500,200.0,,
2004-04-13T14:00:00,132.0,17.8,强台风(STY),14,45,东北,19,950,500,200.0,,
2004-04-13T20:00:00,132.5,18.6,强台风(STY),14,45,东北,22,950,500,200.0,,
2004-04-14T02:00:00,133.1,19.5,强台风(STY),14,45,东北,25,950,500,200.0,,
2004-04-14T08:00:00,133.9,20.4,强台风(STY),14,45,东北,27,950,500,200.0,,
2004-04-14T14:00:00,134.9,21.4,台风(TY),13,40,东北,27,960,440,180.0,,
2004-04-14T20:00:00,136.3,22.2,台风(TY),13,40,东北,40,960,440,80.0,,
2004-04-15T02:00:00,138.0,23.2,台风(TY),12,35,东北,39,970,400,160.0,,
2004-04-15T08:00:00,138.9,24.0,台风(TY),12,33,东北,36,975,400,160.0,,
2004-04-15T14:00:00,141.0,24.4,强热带风暴(STS),10,28,东北偏东,42,980,400,160.0,,
2004-04-15T20:00:00,143.5,25.5,强热带风暴(STS),10,28,东北偏东,40,980,350,100.0,,
2004-04-16T02:00:00,145.6,26.3,强热带风暴(STS),10,25,东北偏东,44,985,350,100.0,,
2004-04-16T08:00:00,148.2,27.7,强热带风暴(STS),10,25,东北偏东,60,985,350,100.0,,
2004-04-16T14:00:00,150.7,28.5,热带风暴(TS),8,20,东北偏东,59,990,350,,,
