time,lng,lat,strong,power,speed,moveDir,moveSpeed,pressure,r7,r10,r12,remark,forecast,r7Quad.ne,r7Quad.se,r7Quad.sw,r7Quad.nw,r10Quad.ne,r10Quad.se,r10Quad.sw,r10Quad.nw,r12Quad.ne,r12Quad.se,r12Quad.sw,r12Quad.nw
1961-08-13T08:00:00,142.9,13.8,,0,0,,,1005,,,,,,,,,,,,,,,,,
1961-08-13T14:00:00,143.1,14.6,,0,0,,,1004,,,,,,,,,,,,,,,,,
1961-08-13T20:00:00,143.2,15.3,,0,0,,,1003,,,,,,,,,,,,,,,,,
1961-08-14T02:00:00,143.2,16.3,,0,0,,,1000,,,,,,,,,,,,,,,,,
1961-08-14T08:00:00,143.2,17.0,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1961-08-14T14:00:00,143.0,18.0,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1961-08-14T20:00:00,142.7,19.0,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1961-08-15T02:00:00,142.5,20.3,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1961-08-15T08:00:00,142.0,22.0,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1961-08-15T14:00:00,141.1,23.5,热带低压(TD),7,15,,,996,,,,,,,,,,,,,,,,,
1961-08-15T20:00:00,140.0,24.6,热带风暴(TS),8,20,,,996,,,,,,,,,,,,,,,,,
1961-08-16T02:00:00,138.9,25.6,强热带风暴(STS),10,25,,,996,,,,,,,,,,,,,,,,,
1961-08-16T08:00:00,137.9,26.9,强热带风暴(STS),11,30,,,995,,,,,,,,,,,,,,,,,
1961-08-16T14:00:00,137.1,28.2,强热带风暴(STS),11,30,,,993,,,,,,,,,,,,,,,,,
1961-08-16T20:00:00,135.8,29.4,台风(TY),12,35,,,991,,,,,,,,,,,,,,,,,
1961-08-17T02:00:00,134.6,30.3,台风(TY),12,35,,,991,,,,,,,,,,,,,,,,,
1961-08-17T08:00:00,133.7,31.0,台风(TY),13,40,,,989,,,,,,,,,,,,,,,,,
1961-08-17T14:00:00,132.9,31.5,台风(TY),13,40,,,988,,,,,,,,,,,,,,,,,
1961-08-17T20:00:00,132.2,31.9,强热带风暴(STS),10,25,,,990,,,,,,,,,,,,,,,,,
1961-08-18T02:00:00,131.6,32.1,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
1961-08-18T08:00:00,131.2,32.2,,0,0,,,1005,,,,,,,,,,,,,,,,,
1961-08-18T14:00:00,130.5,32.6,,0,0,,,1005,,,,,,,,,,,,,,,,,
1961-08-18T20:00:00,129.6,32.9,,0,0,,,1007,,,,,,,,,,,,,,,,,
1961-08-19T02:00:00,129.5,33.5,,0,0,,,1007,,,,,,,,,,,,,,,,,
1961-08-19T08:00:00,130.1,34.1,,0,0,,,1007,,,,,,,,,,,,,,,,,
1961-08-19T14:00:00,132.0,34.7,,0,0,,,1008,,,,,,,,,,,,,,,,,
