time,lng,lat,strong,power,speed,moveDir,moveSpeed,pressure,r7,r10,r12,remark,forecast,r7Quad.ne,r7Quad.se,r7Quad.sw,r7Quad.nw,r10Quad.ne,r10Quad.se,r10Quad.sw,r10Quad.nw,r12Quad.ne,r12Quad.se,r12Quad.sw,r12Quad.nw
1960-08-21T20:00:00,159.0,10.0,,0,0,,,1008,,,,,,,,,,,,,,,,,
1960-08-22T02:00:00,158.3,11.5,,0,0,,,1008,,,,,,,,,,,,,,,,,
1960-08-22T08:00:00,157.6,13.0,,0,0,,,1008,,,,,,,,,,,,,,,,,
1960-08-22T14:00:00,156.9,14.7,热带低压(TD),6,12,,,1006,,,,,,,,,,,,,,,,,
1960-08-22T20:00:00,156.5,16.6,热带低压(TD),6,12,,,1006,,,,,,,,,,,,,,,,,
1960-08-23T02:00:00,157.1,18.5,热带低压(TD),6,12,,,1006,,,,,,,,,,,,,,,,,
1960-08-23T08:00:00,157.5,19.8,热带低压(TD),7,15,,,1006,,,,,,,,,,,,,,,,,
1960-08-23T14:00:00,158.1,21.5,强热带风暴(STS),10,25,,,1004,,,,,,,,,,,,,,,,,
1960-08-23T20:00:00,158.3,22.1,强热带风暴(STS),10,25,,,1004,,,,,,,,,,,,,,,,,
1960-08-24T02:00:00,158.7,22.8,强热带风暴(STS),10,25,,,1004,,,,,,,,,,,,,,,,,
1960-08-24T08:00:00,159.0,23.4,强热带风暴(STS),10,25,,,998,,,,,,,,,,,,,,,,,
1960-08-24T14:00:00,159.3,24.0,强热带风暴(STS),10,25,,,998,,,,,,,,,,,,,,,,,
1960-08-24T20:00:00,159.6,24.7,强热带风暴(STS),10,25,,,996,,,,,,,,,,,,,,,,,
1960-08-25T02:00:00,159.8,25.2,强热带风暴(STS),10,25,,,996,,,,,,,,,,,,,,,,,
1960-08-25T08:00:00,159.8,25.4,强热带风暴(STS),10,25,,,993,,,,,,,,,,,,,,,,,
1960-08-25T14:00:00,159.7,25.5,强热带风暴(STS),11,30,,,991,,,,,,,,,,,,,,,,,
1960-08-25T20:00:00,159.5,25.6,强热带风暴(STS),11,30,,,988,,,,,,,,,,,,,,,,,
1960-08-26T02:00:00,159.3,25.7,强热带风暴(STS),11,30,,,986,,,,,,,,,,,,,,,,,
1960-08-26T08:00:00,158.6,25.5,台风(TY),12,35,,,982,,,,,,,,,,,,,,,,,
1960-08-26T14:00:00,157.3,25.1,台风(TY),12,35,,,978,,,,,,,,,,,,,,,,,
1960-08-26T20:00:00,156.5,24.1,强台风(STY),14,45,,,972,,,,,,,,,,,,,,,,,
1960-08-27T02:00:00,155.5,23.5,强台风(STY),15,50,,,966,,,,,,,,,,,,,,,,,
1960-08-27T08:00:00,154.0,23.1,超强台风(Super TY),16,55,,,960,,,,,,,,,,,,,,,,,
1960-08-27T14:00:00,152.5,22.9,超强台风(Super TY),17,60,,,954,,,,,,,,,,,,,,,,,
1960-08-27T20:00:00,151.2,22.8,超强台风(Super TY),17,60,,,957,,,,,,,,,,,,,,,,,
1960-08-28T02:00:00,149.8,22.7,超强台风(Super TY),17,60,,,960,,,,,,,,,,,,,,,,,
1960-08-28T08:00:00,148.5,22.7,超强台风(Super TY),18,65,,,955,,,,,,,,,,,,,,,,,
1960-08-28T14:00:00,146.7,22.8,超强台风(Super TY),18,70,,,946,,,,,,,,,,,,,,,,,
1960-08-28T20:00:00,145.3,23.2,超强台风(Super TY),18,65,,,950,,,,,,,,,,,,,,,,,
1960-08-29T02:00:00,144.0,24.0,超强台风(Super TY),17,60,,,954,,,,,,,,,,,,,,,,,
1960-08-29T08:00:00,143.0,25.0,超强台风(Super TY),17,60,,,958,,,,,,,,,,,,,,,,,
1960-08-29T14:00:00,142.0,26.2,超强台风(Super TY),17,60,,,959,,,,,,,,,,,,,,,,,
1960-08-29T20:00:00,141.3,27.1,超强台风(Super TY),17,60,,,960,,,,,,,,,,,,,,,,,
1960-08-30T02:00:00,140.4,28.2,超强台风(Super TY),16,55,,,964,,,,,,,,,,,,,,,,,
1960-08-30T08:00:00,140.5,29.6,强台风(STY),15,50,,,965,,,,,,,,,,,,,,,,,
1960-08-30T14:00:00,140.9,31.3,台风(TY),13,40,,,970,,,,,,,,,,,,,,,,,
1960-08-30T20:00:00,141.1,33.2,台风(TY),12,35,,,980,,,,,,,,,,,,,,,,,
1960-08-31T02:00:00,142.1,35.1,强热带风暴(STS),11,30,,,990,,,,,,,,,,,,,,,,,
1960-08-31T08:00:00,143.4,36.7,强热带风暴(STS),10,25,,,996,,,,,,,,,,,,,,,,,
1960-08-31T14:00:00,145.5,38.0,热带风暴(TS),8,20,,,996,,,,,,,,,,,,,,,,,
1960-08-31T20:00:00,148.0,39.0,热带风暴(TS),8,20,,,996,,,,,,,,,,,,,,,,,
1960-09-01T02:00:00,150.0,39.5,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
