time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,remark,forecast,radius7_quad.ne,radius7_quad.se,radius7_quad.sw,radius7_quad.nw,radius10_quad.ne,radius10_quad.se,radius10_quad.sw,radius10_quad.nw,radius12_quad.ne,radius12_quad.se,radius12_quad.sw,radius12_quad.nw
1955-08-24T02:00:00,150.0,23.8,,0,0,,,1008,,,,,,,,,,,,,,,,,
1955-08-24T08:00:00,149.4,24.0,,0,0,,,1008,,,,,,,,,,,,,,,,,
1955-08-24T14:00:00,149.0,24.3,,0,0,,,1006,,,,,,,,,,,,,,,,,
1955-08-24T20:00:00,148.7,24.5,,0,0,,,1006,,,,,,,,,,,,,,,,,
1955-08-25T02:00:00,148.4,24.7,,0,0,,,1004,,,,,,,,,,,,,,,,,
1955-08-25T08:00:00,148.2,25.2,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1955-08-25T14:00:00,147.5,26.4,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1955-08-25T20:00:00,146.5,27.0,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1955-08-26T02:00:00,145.4,27.3,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1955-08-26T08:00:00,144.0,27.6,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1955-08-26T14:00:00,141.8,27.8,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1955-08-26T20:00:00,139.3,28.2,热带低压(TD),7,15,,,1002,,,,,,,,,,,,,,,,,
1955-08-27T02:00:00,138.0,29.9,热带低压(TD),7,15,,,1002,,,,,,,,,,,,,,,,,
1955-08-27T08:00:00,136.5,31.0,热带低压(TD),7,15,,,1004,,,,,,,,,,,,,,,,,
1955-08-27T14:00:00,135.0,31.7,,0,0,,,1006,,,,,,,,,,,,,,,,,
1955-08-27T20:00:00,133.6,32.4,,0,0,,,1008,,,,,,,,,,,,,,,,,
