time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,radius12,remark,forecast,radius7_quad.ne,radius7_quad.se,radius7_quad.sw,radius7_quad.nw,radius10_quad.ne,radius10_quad.se,radius10_quad.sw,radius10_quad.nw,radius12_quad.ne,radius12_quad.se,radius12_quad.sw,radius12_quad.nw
1959-08-19T02:00:00,129.7,16.0,,0,0,,,1005,,,,,,,,,,,,,,,,,
1959-08-19T08:00:00,129.0,16.0,热带低压(TD),6,12,,,1004,,,,,,,,,,,,,,,,,
1959-08-19T14:00:00,128.3,16.0,热带低压(TD),7,15,,,1002,,,,,,,,,,,,,,,,,
1959-08-19T20:00:00,127.5,16.2,热带风暴(TS),8,20,,,1000,,,,,,,,,,,,,,,,,
1959-08-20T02:00:00,126.8,16.3,强热带风暴(STS),10,25,,,998,,,,,,,,,,,,,,,,,
1959-08-20T08:00:00,126.1,16.5,强热带风暴(STS),11,30,,,996,,,,,,,,,,,,,,,,,
1959-08-20T14:00:00,125.5,16.7,强热带风暴(STS),11,30,,,990,,,,,,,,,,,,,,,,,
1959-08-20T20:00:00,124.9,17.0,强热带风暴(STS),11,30,,,990,,,,,,,,,,,,,,,,,
1959-08-21T02:00:00,124.2,17.1,台风(TY),12,35,,,988,,,,,,,,,,,,,,,,,
1959-08-21T08:00:00,123.5,17.2,台风(TY),13,40,,,986,,,,,,,,,,,,,,,,,
1959-08-21T14:00:00,123.3,17.8,台风(TY),13,40,,,978,,,,,,,,,,,,,,,,,
1959-08-21T20:00:00,122.8,18.8,强台风(STY),14,45,,,977,,,,,,,,,,,,,,,,,
1959-08-22T02:00:00,122.0,19.7,强台风(STY),14,45,,,977,,,,,,,,,,,,,,,,,
1959-08-22T08:00:00,120.9,20.4,强台风(STY),14,45,,,976,,,,,,,,,,,,,,,,,
1959-08-22T14:00:00,120.1,21.4,强台风(STY),15,50,,,965,,,,,,,,,,,,,,,,,
1959-08-22T20:00:00,119.5,22.6,强台风(STY),15,50,,,965,,,,,,,,,,,,,,,,,
1959-08-23T02:00:00,118.2,24.0,台风(TY),13,40,,,975,,,,,,,,,,,,,,,,,
1959-08-23T08:00:00,116.6,25.0,热带低压(TD),6,12,,,994,,,,,,,,,,,,,,,,,
1959-08-23T14:00:00,113.1,26.1,,5,10,,,998,,,,,,,,,,,,,,,,,
