time,lng,lat,strong,power,speed,moveDir,moveSpeed,pressure,r7,r10,r12,remark,forecast,r7Quad.ne,r7Quad.se,r7Quad.sw,r7Quad.nw,r10Quad.ne,r10Quad.se,r10Quad.sw,r10Quad.nw,r12Quad.ne,r12Quad.se,r12Quad.sw,r12Quad.nw
2001-12-15T08:00:00,162.3,4.8,热带低压(TD),6,12,,,1002,,,,,,,,,,,,,,,,,
2001-12-15T14:00:00,162.3,4.8,热带低压(TD),6,12,,,1002,,,,,,,,,,,,,,,,,
2001-12-15T20:00:00,162.3,4.8,热带低压(TD),6,12,,,1002,,,,,,,,,,,,,,,,,
2001-12-16T02:00:00,162.3,4.8,热带低压(TD),6,12,,,1002,,,,,,,,,,,,,,,,,
2001-12-16T08:00:00,161.6,5.5,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
2001-12-16T14:00:00,161.6,5.5,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
2001-12-16T20:00:00,161.6,5.5,热带低压(TD),7,15,,,1000,,,,,,,,,,,,,,,,,
2001-12-17T02:00:00,161.6,5.5,热带风暴(TS),8,18,,,998,,,,,,,,,,,,,,,,,
2001-12-17T08:00:00,161.6,5.5,热带风暴(TS),8,18,,,998,,,,,,,,,,,,,,,,,
2001-12-17T14:00:00,161.0,5.9,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
2001-12-17T20:00:00,161.0,5.9,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
2001-12-18T02:00:00,161.0,5.9,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
2001-12-18T08:00:00,161.0,5.9,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
2001-12-18T14:00:00,161.0,5.9,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
2001-12-18T20:00:00,161.5,6.1,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
2001-12-19T02:00:00,162.0,6.2,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
2001-12-19T08:00:00,162.0,6.2,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
2001-12-19T14:00:00,162.3,6.6,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
2001-12-19T20:00:00,162.3,6.6,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
2001-12-20T02:00:00,162.3,6.6,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
2001-12-20T08:00:00,161.5,7.2,热带风暴(TS),9,23,,,990,,,,,,,,,,,,,,,,,
2001-12-20T14:00:00,160.7,7.7,强热带风暴(STS),10,25,,,990,,,,,,,,,,,,,,,,,
2001-12-20T20:00:00,159.8,8.1,强热带风暴(STS),10,25,,,990,,,,,,,,,,,,,,,,,
2001-12-21T02:00:00,159.1,8.6,强热带风暴(STS),10,28,,,985,,,,,,,,,,,,,,,,,
2001-12-21T08:00:00,158.4,9.1,台风(TY),12,33,,,980,,,,,,,,,,,,,,,,,
2001-12-21T14:00:00,157.7,9.7,台风(TY),12,35,,,970,,,,,,,,,,,,,,,,,
2001-12-21T20:00:00,156.8,10.5,台风(TY),13,40,,,965,,,,,,,,,,,,,,,,,
2001-12-22T02:00:00,155.9,11.0,强台风(STY),14,45,,,955,,,,,,,,,,,,,,,,,
2001-12-22T08:00:00,155.1,11.6,强台风(STY),15,50,,,940,,,,,,,,,,,,,,,,,
2001-12-22T14:00:00,153.9,12.4,强台风(STY),15,50,,,940,,,,,,,,,,,,,,,,,
2001-12-22T20:00:00,152.8,13.2,超强台风(Super TY),16,55,,,930,,,,,,,,,,,,,,,,,
2001-12-23T02:00:00,151.5,13.9,超强台风(Super TY),17,60,,,925,,,,,,,,,,,,,,,,,
2001-12-23T08:00:00,150.2,14.8,超强台风(Super TY),17,60,,,920,,,,,,,,,,,,,,,,,
2001-12-23T14:00:00,149.1,15.6,超强台风(Super TY),16,55,,,930,,,,,,,,,,,,,,,,,
2001-12-23T20:00:00,148.3,16.4,强台风(STY),15,50,,,940,,,,,,,,,,,,,,,,,
2001-12-24T02:00:00,147.3,17.3,强台风(STY),14,45,,,955,,,,,,,,,,,,,,,,,
2001-12-24T08:00:00,146.6,18.2,强台风(STY),14,45,,,955,,,,,,,,,,,,,,,,,
2001-12-24T14:00:00,146.3,19.3,强台风(STY),14,45,,,955,,,,,,,,,,,,,,,,,
2001-12-24T20:00:00,146.6,20.2,台风(TY),13,40,,,960,,,,,,,,,,,,,,,,,
2001-12-25T02:00:00,147.3,21.8,台风(TY),13,40,,,960,,,,,,,,,,,,,,,,,
2001-12-25T08:00:00,149.0,23.3,台风(TY),12,35,,,970,,,,,,,,,,,,,,,,,
2001-12-25T14:00:00,151.5,25.4,强热带风暴(STS),11,30,,,980,,,,,,,,,,,,,,,,,
2001-12-25T20:00:00,154.4,27.2,强热带风暴(STS),10,28,,,980,,,,,,,,,,,,,,,,,
2001-12-26T02:00:00,158.5,29.6,强热带风暴(STS),10,25,,,985,,,,,,,,,,,,,,,,,
2001-12-26T08:00:00,162.3,31.8,热带风暴(TS),8,20,,,995,,,,,,,,,,,,,,,,,
2001-12-26T14:00:00,166.2,32.1,热带低压(TD),7,15,,,998,,,,,,,,,,,,,,,,,
2001-12-26T20:00:00,168.5,32.1,热带低压(TD),6,12,,,1000,,,,,,,,,,,,,,,,,
