time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
2004-10-04T14:00:00,134.5,16.5,热带风暴(TS),8,20,,,995,200.0,,,
2004-10-04T20:00:00,134.4,16.7,热带风暴(TS),8,20,,,995,200.0,,,
2004-10-05T02:00:00,134.5,16.8,热带风暴(TS),8,20,,,995,200.0,,,
2004-10-05T08:00:00,134.5,17.4,热带风暴(TS),8,20,,,995,,,,
2004-10-05T14:00:00,134.4,18.8,热带风暴(TS),8,20,,,995,200.0,,,
2004-10-05T20:00:00,134.5,19.8,热带风暴(TS),9,23,,,990,200.0,,,
2004-10-06T02:00:00,134.1,20.2,热带风暴(TS),9,23,,,990,200.0,,,
2004-10-06T08:00:00,133.5,20.4,强热带风暴(STS),10,25,,,985,280.0,,,
2004-10-06T14:00:00,132.6,20.6,强热带风暴(STS),10,25,,,985,280.0,,,
2004-10-07T08:00:00,131.0,21.8,台风(TY),12,35,,,970,,,,
2004-10-07T11:00:00,130.8,22.0,台风(TY),12,35,,,970,350.0,120.0,,
2004-10-07T14:00:00,130.6,22.2,台风(TY),13,40,,,965,360.0,140.0,,
2004-10-07T17:00:00,130.6,22.4,台风(TY),13,40,,,965,360.0,140.0,,
2004-10-07T20:00:00,130.6,22.6,台风(TY),13,40,,,960,360.0,140.0,,
2004-10-07T23:00:00,130.6,22.8,台风(TY),13,40,,,960,360.0,140.0,,
2004-10-08T02:00:00,130.8,23.0,强台风(STY),15,50,,,945,360.0,180.0,,
2004-10-08T05:00:00,130.9,23.6,强台风(STY),15,50,,,945,360.0,180.0,,
2004-10-08T08:00:00,131.4,23.9,强台风(STY),15,50,,,945,360.0,180.0,,
2004-10-08T11:00:00,131.7,24.7,强台风(STY),15,50,,,945,360.0,180.0,,
2004-10-08T14:00:00,132.2,25.1,强台风(STY),15,50,,,945,360.0,180.0,,
2004-10-08T20:00:00,133.1,26.7,强台风(STY),15,50,,,945,360.0,180.0,,
2004-10-09T02:00:00,134.5,28.9,强台风(STY),14,45,,,950,300.0,150.0,,
2004-10-09T08:00:00,136.1,31.6,强台风(STY),14,45,,,950,300.0,150.0,,
2004-10-09T14:00:00,138.4,34.4,强台风(STY),14,45,,,950,,,,
2004-10-09T20:00:00,141.5,36.8,强热带风暴(STS),11,30,,,975,350.0,150.0,,
2004-10-10T02:00:00,145.5,39.1,强热带风暴(STS),10,25,,,985,320.0,90.0,,
