time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
2009-11-23T20:00:00,147.0,8.8,热带风暴(TS),8,18,西北西,15.0,998,150,,,
2009-11-24T02:00:00,146.4,8.9,热带风暴(TS),8,20,西北西,15.0,996,180,,,
2009-11-24T08:00:00,145.9,8.9,热带风暴(TS),9,23,西北西,15.0,990,220,,,
2009-11-24T14:00:00,145.5,8.9,强热带风暴(STS),10,25,西北偏西,15.0,988,220,,,
2009-11-24T20:00:00,145.3,9.2,强热带风暴(STS),10,25,西北,15.0,988,220,,,
2009-11-25T02:00:00,144.0,9.7,强热带风暴(STS),10,28,西北,15.0,985,220,,,
2009-11-25T08:00:00,143.8,10.6,台风(TY),13,38,西北,15.0,960,220,,,
2009-11-25T14:00:00,143.0,11.6,强台风(STY),14,45,西北,15.0,940,220,,,
2009-11-25T20:00:00,142.2,12.6,超强台风(Super TY),16,55,西北,15.0,925,220,,,
2009-11-26T02:00:00,141.6,13.7,超强台风(Super TY),17,60,西北,15.0,910,220,,,
2009-11-26T08:00:00,140.8,14.5,超强台风(Super TY),17,60,北西,15.0,910,350,,,
2009-11-26T14:00:00,140.0,15.2,超强台风(Super TY),17,60,西北,15.0,910,400,150.0,,
2009-11-26T20:00:00,139.7,15.8,超强台风(Super TY),16,55,西北偏北,15.0,925,400,150.0,,
2009-11-27T02:00:00,139.3,16.3,超强台风(Super TY),16,55,西北偏北,15.0,925,400,150.0,,
2009-11-27T08:00:00,139.3,17.0,超强台风(Super TY),16,55,北,12.0,925,400,150.0,,
2009-11-27T14:00:00,139.2,17.8,超强台风(Super TY),16,55,北,14.0,925,400,,,
2009-11-27T20:00:00,139.0,18.3,超强台风(Super TY),16,55,北北西,10.0,925,400,,,
2009-11-28T02:00:00,139.0,18.7,超强台风(Super TY),16,55,西北偏北,5.0,925,400,,,
2009-11-28T08:00:00,139.0,19.0,超强台风(Super TY),16,55,西北偏北,10.0,925,400,,,
2009-11-28T14:00:00,139.2,19.1,超强台风(Super TY),16,55,北,5.0,925,400,150.0,,
2009-11-28T20:00:00,139.3,19.1,超强台风(Super TY),16,55,,,925,400,150.0,,
2009-11-29T02:00:00,139.4,19.1,超强台风(Super TY),16,55,,2.0,925,400,150.0,,
2009-11-29T08:00:00,139.4,19.3,超强台风(Super TY),16,52,,2.0,935,400,150.0,,
2009-11-29T14:00:00,139.4,19.4,超强台风(Super TY),16,55,,,925,400,150.0,,
2009-11-29T20:00:00,139.3,19.5,超强台风(Super TY),16,55,,2.0,925,400,180.0,,
2009-11-30T02:00:00,139.3,19.6,超强台风(Super TY),16,52,,2.0,935,400,170.0,,
2009-11-30T08:00:00,139.4,19.6,强台风(STY),15,50,,,940,400,170.0,,
2009-11-30T14:00:00,139.2,19.7,强台风(STY),15,50,,,940,400,170.0,,
2009-11-30T20:00:00,138.9,20.0,强台风(STY),14,45,西北,8.0,950,400,170.0,,
2009-12-01T02:00:00,138.7,20.0,台风(TY),13,40,西,5.0,960,400,170.0,,
2009-12-01T08:00:00,138.2,20.3,台风(TY),13,38,西,8.0,965,400,170.0,,
2009-12-01T14:00:00,137.8,20.5,台风(TY),12,33,西北偏西,10.0,975,400,170.0,,
2009-12-01T20:00:00,137.6,20.7,强热带风暴(STS),11,30,,2.0,980,390,100.0,,
2009-12-02T02:00:00,137.6,20.8,强热带风暴(STS),10,25,,2.0,988,200,,,
2009-12-02T08:00:00,137.1,21.3,强热带风暴(STS),10,25,西北偏西,8.0,988,200,,,
2009-12-02T14:00:00,135.6,20.9,强热带风暴(STS),10,25,西北偏西,5.0,988,200,,,
2009-12-02T20:00:00,134.9,21.1,热带风暴(TS),8,18,西北西,7.0,996,170,,,
