time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
1999-09-12T14:00:00,121.8,16.5,热带低压(TD),7,15,,,996,,,,
1999-09-12T20:00:00,121.5,17.6,热带低压(TD),7,15,,,996,,,,
1999-09-13T02:00:00,120.4,18.0,热带低压(TD),7,15,,,995,,,,
1999-09-13T08:00:00,119.3,18.2,热带低压(TD),7,15,,,995,,,,
1999-09-13T14:00:00,118.7,18.5,热带风暴(TS),8,18,,,995,,,,
1999-09-13T20:00:00,117.7,18.7,热带风暴(TS),8,18,,,995,,,,
1999-09-14T02:00:00,116.7,18.9,热带风暴(TS),8,20,,,992,,,,
1999-09-14T08:00:00,116.3,19.3,热带风暴(TS),8,20,,,992,,,,
1999-09-14T14:00:00,116.8,20.0,热带风暴(TS),9,23,,,990,,,,
1999-09-14T20:00:00,116.4,20.4,强热带风暴(STS),10,25,,,985,,,,
1999-09-15T02:00:00,116.2,20.7,强热带风暴(STS),10,25,,,985,,,,
1999-09-15T08:00:00,116.0,21.0,强热带风暴(STS),10,28,,,980,,,,
1999-09-15T14:00:00,115.5,21.2,强热带风暴(STS),11,30,,,980,,,,
1999-09-15T20:00:00,115.3,21.5,强热带风暴(STS),11,30,,,980,,,,
1999-09-16T02:00:00,115.1,21.7,强热带风暴(STS),11,30,,,980,,,,
1999-09-16T08:00:00,114.4,22.1,强热带风暴(STS),11,30,,,980,,,,
1999-09-16T14:00:00,113.7,22.2,强热带风暴(STS),11,30,,,975,,,,
1999-09-16T20:00:00,113.4,22.4,强热带风暴(STS),10,25,,,980,,,,
1999-09-17T02:00:00,112.8,23.2,热带风暴(TS),8,20,,,990,,,,
1999-09-17T08:00:00,112.5,23.7,热带低压(TD),7,15,,,997,,,,
1999-09-17T14:00:00,111.6,24.6,热带低压(TD),6,12,,,1000,,,,
