time,lng,lat,strong,power,speed,move_dir,move_speed,pressure,radius7,radius10,remark,forecast
2002-08-15T14:00:00,113.6,13.5,热带低压(TD),7,15,,,994,,,,
2002-08-15T20:00:00,113.8,14.0,热带低压(TD),7,15,,,994,,,,
2002-08-16T02:00:00,113.4,14.4,热带低压(TD),7,15,,,994,,,,
2002-08-16T08:00:00,113.7,14.7,热带低压(TD),7,15,,,995,,,,
2002-08-16T14:00:00,114.3,15.0,热带低压(TD),7,15,,,990,,,,
2002-08-16T20:00:00,114.3,15.0,热带低压(TD),7,15,,,990,,,,
2002-08-17T02:00:00,114.4,15.2,热带低压(TD),7,15,,,990,,,,
2002-08-17T08:00:00,114.6,15.9,热带低压(TD),7,15,,,990,,,,
2002-08-17T14:00:00,113.6,16.3,热带低压(TD),7,15,,,990,,,,
2002-08-17T20:00:00,113.3,16.4,热带低压(TD),7,15,,,990,,,,
2002-08-18T02:00:00,113.3,16.4,热带风暴(TS),8,18,,,988,,,,
2002-08-18T08:00:00,113.0,16.5,热带风暴(TS),8,18,,,988,,,,
2002-08-18T14:00:00,112.3,16.7,热带风暴(TS),8,20,,,985,,,,
2002-08-18T20:00:00,112.0,17.0,热带风暴(TS),8,20,,,985,,,,
2002-08-19T02:00:00,111.9,17.4,热带风暴(TS),8,20,,,985,,,,
2002-08-19T08:00:00,111.6,18.5,热带风暴(TS),9,23,,,980,,,,
2002-08-19T14:00:00,111.1,20.0,强热带风暴(STS),10,25,,,980,,,,
2002-08-19T20:00:00,110.6,21.3,强热带风暴(STS),11,30,,,980,,,,
2002-08-20T02:00:00,110.0,22.8,热带风暴(TS),9,23,,,990,,,,
2002-08-20T08:00:00,108.1,24.8,热带低压(TD),7,15,,,998,,,,
